		452
	Accelerator Defective	62
	Aggressive Driving/Road Rage	357
	Alcohol Involvement	919
	Animals Action	57
	Backing Unsafely	2507
	Brakes Defective	328
	Cell Phone (hand-held)	16
	Cell Phone (hands-free)	26
	Driver Inattention/Distraction	17663
	Driver Inexperience	1271
	Driverless/Runaway Vehicle	10
	Drugs (Illegal)	56
	Failure to Keep Right	292
	Failure to Yield Right-of-Way	3906
	Fatigued/Drowsy	11511
	Fell Asleep	162
	Following Too Closely	1905
	Glare	259
	Headlights Defective	4
	Illness	159
	Lane Marking Improper/Inadequate	87
	Lost Consciousness	2198
	Obstruction/Debris	300
	Other Electronic Device	240
	Other Lighting Defects	14
	Other Vehicular	3245
	Outside Car Distraction	1926
	Oversized Vehicle	552
	Passenger Distraction	243
	Passing or Lane Usage Improper	631
	Pavement Defective	183
	Pavement Slippery	1523
	Pedestrian/Bicyclist/Other Pedestrian Error/Confusion	109
	Physical Disability	810
	Prescription Medication	1365
	Reaction to Other Uninvolved Vehicle	478
	Shoulders Defective/Improper	5
	Steering Failure	123
	Tire Failure/Inadequate	191
	Tow Hitch Defective	3
	Traffic Control Device Improper/Non-Working	38
	Traffic Control Disregarded	1840
	Turning Improperly	4167
	Unsafe Lane Changing	731
	Unsafe Speed	410
	Unspecified	65886
	View Obstructed/Limited	398
	Windshield Inadequate	3
BRONX		230
BRONX	Accelerator Defective	30
BRONX	Aggressive Driving/Road Rage	181
BRONX	Alcohol Involvement	464
BRONX	Animals Action	23
BRONX	Backing Unsafely	1447
BRONX	Brakes Defective	154
BRONX	Cell Phone (hand-held)	7
BRONX	Cell Phone (hands-free)	6
BRONX	Driver Inattention/Distraction	6112
BRONX	Driver Inexperience	631
BRONX	Driverless/Runaway Vehicle	1
BRONX	Drugs (Illegal)	39
BRONX	Failure to Keep Right	86
BRONX	Failure to Yield Right-of-Way	1538
BRONX	Fatigued/Drowsy	1353
BRONX	Fell Asleep	52
BRONX	Following Too Closely	157
BRONX	Glare	120
